f1,f2,f3,t1,t2,t3,class
-1,-1,63,-3,-1,0,0
-1,-1,63,-2,-1,0,0
-1,0,57,-5,-3,0,0
0,-1,59,-2,-1,-1,0
0,-2,65,-4,-2,0,0
-1,2,57,-10,-3,0,0
-3,1,53,-10,-4,0,0
2,0,69,-10,2,1,0
-1,1,58,-11,-4,-1,0
-1,-1,63,-3,-1,0,0
-1,-1,63,-3,0,0,0
1,-3,62,-1,2,0,0
0,-1,69,-4,2,-1,0
1,-2,57,-4,0,-1,0
-1,1,67,-9,-4,-1,0
0,2,67,-11,-3,0,0
-1,1,58,-8,-4,1,0
1,0,60,-8,1,1,0
24,53,79,-200,109,2,1
185,105,118,-180,374,12,1
-21,-50,46,-180,266,98,1
112,-54,85,-77,284,-3,1
95,-4,38,125,111,-4,1
-127,83,69,-71,-148,-53,1
-72,-24,84,120,-196,-15,1
-133,-34,18,21,131,-41,1
-10,-2,27,-17,8,3,1
5,23,157,-186,179,2,1
-14,-10,52,15,-77,0,1
8,-17,50,16,-1,-2,1
3,-33,32,41,2,-1,1
2,-3,70,-3,-1,0,1
4,-14,59,82,-85,13,1
71,51,5,686,494,-137,1
-93,76,80,-123,-151,-1,1
-8,20,-5,-26,-10,-1,2
11,-3,-301,-267,-88,-16,2
5,-4,-345,-185,0,0,2
-6,15,-414,-53,16,-5,2
-31,0,-398,-259,4,25,2
0,2,50,-13,-4,-1,0
-20,55,-918,-90,-77,-6,2
0,2,61,-12,-2,5,0
-35,17,-1029,-232,27,1,2
1,0,57,8,5,7,2
-6,27,-288,140,23,-2,2
-13,-12,-558,-450,-108,21,2
3,-10,-7,-44,1,5,2
-1,-86,-628,-338,-98,16,2
-37,26,-779,-150,5,3,2
-18,-9,46,-4,-11,-2,2
-21,1,-185,-202,3,11,2
-12,41,-133,-150,-53,-3,3
-17,99,-511,-319,-87,-10,2
4,8,41,-28,10,0,3
6,9,15,-28,17,1,3
14,13,-26,-36,32,2,3
30,22,-325,-46,66,4,2
0,1,70,-10,-2,-1,3
18,14,-113,74,140,12,2
-26,87,-454,51,150,18,2
-254,219,-1428,308,-20,-51,2
0,0,50,-11,-7,0,3
-14,-4,-51,-62,-70,6,2
8,-12,-396,-261,-115,1,2
-1,-1,61,-5,-1,-1,2
-3,0,44,-11,-8,-2,2
-1,2,56,-11,-2,-1,0
-6,8,38,-45,-21,-1,3
-13,15,-2,-88,-51,3,3
-59,44,-205,-305,-226,37,2
-1,3,43,-21,-8,0,3
-2,1,13,-29,-25,3,2
61,24,-386,-397,-30,-61,2
-2,1,38,-22,-13,3,3
8,4,-48,-86,-23,-5,2
-1,3,46,-3,-2,1,3
-2,10,-31,21,29,5,2
-2,77,-487,179,227,36,2
-5,-2,48,7,-9,-1,3
-4,7,10,5,0,1,2
-3,0,46,0,-5,1,3
-15,-9,-26,70,-22,-11,3
-29,-10,-208,180,12,-11,2
4,6,50,-25,1,0,3
21,15,-14,-46,16,-7,2
171,86,-486,-113,222,13,2
-6,3,52,-15,-17,3,3
-2,-1,81,0,-5,0,0
6,-1,79,-2,4,-3,0
-2,-6,85,14,-5,2,0
-2,-10,86,13,-7,-5,0
0,2,74,-12,-9,-5,0
-2,3,70,-15,-18,-5,0
-5,4,77,-20,-22,-6,0
-5,4,78,-28,-28,-9,0
-4,-2,81,-11,-24,-10,0
-3,1,84,-26,-22,-11,0
0,-4,80,-22,-22,-18,0
2,-1,82,-1,-2,6,0
-5,6,67,-15,-16,-7,0
-4,3,76,-11,-16,-5,0
-3,0,75,-7,-19,-4,0
0,-9,83,7,-9,-8,0
-8,-6,85,-6,-31,-13,0
-2,-3,82,-15,-21,-6,0
-1,-11,76,5,-20,-13,0
-3,-2,79,-16,-20,-5,0
-2,2,20,5,-6,-1,0
-3,2,22,5,-8,0,0
-2,2,20,5,-6,-1,0
-2,2,20,5,-6,-1,0
-2,2,20,4,-7,-1,0
-2,1,19,4,-6,0,0
-1,1,19,4,-6,0,0
-2,1,19,4,-6,0,0
-1,2,21,3,-6,1,0
0,1,15,3,-3,0,0
-1,2,4,-1,-7,0,0
2,0,17,3,-4,0,0
0,1,17,3,-4,1,0
-1,2,18,-2,-6,0,0
0,0,16,1,-6,-1,0
-1,2,18,4,-7,0,0
-2,1,19,3,-6,0,0
-2,1,19,4,-6,0,0
-4,0,8,5,-1,2,0
-4,1,7,5,-2,2,0
-4,0,7,5,-2,2,0
-4,0,8,6,-2,2,0
-4,0,8,6,-2,2,0
-4,0,7,5,0,2,0
-15,22,123,-98,1,-15,1
35,3,81,-26,135,6,1
49,-5,16,7,64,0,1
12,-6,25,13,17,-1,1
17,-36,-29,-4,22,-66,1
-11,9,16,-17,-22,6,1
-36,-24,-6,87,-44,-34,1
-22,12,-3,-14,-28,-2,1
-29,-6,4,8,-32,-2,1
59,-6,46,41,191,-14,1
25,12,40,-29,61,-5,1
19,30,44,-117,37,40,1
16,16,31,-26,69,-27,1
-19,4,47,-47,-57,-30,1
15,-13,-4,39,-31,84,1
40,-13,27,26,55,1,1
-12,-5,20,-3,-24,0,1
-13,-7,18,19,-15,0,1
-53,16,-17,-39,-98,-22,1
-39,3,11,5,-67,-2,1
-15,22,123,-98,1,-15,1
-46,66,-21,-115,-11,-1,1
-14,11,-10,-10,-19,-2,1
20,-16,9,26,29,-1,1
30,-30,34,43,45,0,1
-74,30,55,-149,-163,20,1
-27,18,-3,-26,-39,-4,1
188,-1,-42,220,192,-15,1
-116,41,-50,14,-206,-24,1
1,-26,-517,95,40,-33,2
-17,-30,-163,-115,33,3,1
-13,-13,-29,29,27,-13,2
-3,-5,-14,24,35,-4,2
10,-13,-57,70,11,17,2
2,-47,-604,119,26,-18,2
16,-39,-170,-20,-116,17,1
29,-19,-178,-71,-70,-8,1
59,-59,-332,27,-50,20,1
322,-338,-3195,280,-64,-34,2
16,-2,-39,-18,-15,-15,2
-25,-13,-199,18,-34,-10,2
353,-169,-3617,324,-265,47,2
3,-9,-32,-12,-24,4,2
52,-4,-222,52,-39,9,1
112,115,-1744,476,-13,149,2
2,2,26,2,1,-1,1
1,3,-3,-16,-12,0,2
7,-10,-179,-11,18,4,1
-7,-2,4,6,-8,1,2
0,0,19,2,-5,2,2
-2,0,15,0,-2,2,1
25,10,-93,-6,-7,0,2
-3,3,10,-2,-5,2,1
-8,5,-8,-11,-13,2,2
-2,0,-7,0,-6,2,1
-6,-7,-10,14,-15,1,2
-2,-1,-9,-1,3,1,1
1,0,0,4,-1,2,1
3,0,-9,-2,2,1,1
0,1,-16,3,1,4,1
18,-1,-66,13,-11,4,2
0,-2,-2,3,2,2,2
5,1,-10,-5,2,0,2
-1,2,-2,4,-6,3,1
1,0,11,-1,9,1,1
-4,10,-20,-16,9,2,1
-1,0,-6,2,2,3,1
-2,0,-7,-5,-1,1,1
1,1,-14,4,-3,3,1
8,5,-24,1,-1,3,1
-1,-1,-1,-1,5,3,1
3,-1,-7,7,6,5,1
-4,0,-2,0,-3,1,2
1,-1,-2,5,1,3,1
-5,-1,-16,-3,-7,3,1
6,-6,-66,-40,12,5,1
-2,1,27,3,-3,-2,1
-11,-35,1,45,-28,-2,1
-21,-1,7,11,-28,-5,1
-3,2,-11,3,-2,-3,1
-84,85,-41,-114,-114,-6,1
-2,1,17,2,-1,-4,1
-57,-4,40,11,-156,-42,1
25,-28,48,-129,86,22,1
22,1,12,4,27,-3,1
114,5,123,172,90,32,1
-14,29,-20,-49,0,-9,1
-61,150,-23,-177,-51,-2,1
-5,14,-43,-101,-49,17,1
36,-4,19,8,53,-2,1
-12,17,3,-19,-10,-4,1
-41,21,-5,-23,-59,-4,1
9,-10,-11,17,7,-4,1
-2,-1,81,0,-5,0,0
6,-1,79,-2,4,-3,0
-2,-6,85,14,-5,2,0
-2,-10,86,13,-7,-5,0
0,2,74,-12,-9,-5,0
-2,3,70,-15,-18,-5,0
-5,4,77,-20,-22,-6,0
-5,4,78,-28,-28,-9,0
-4,-2,81,-11,-24,-10,0
-3,1,84,-26,-22,-11,0
0,-4,80,-22,-22,-18,0
2,-1,82,-1,-2,6,0
-5,6,67,-15,-16,-7,0
-4,3,76,-11,-16,-5,0
-3,0,75,-7,-19,-4,0
0,-9,83,7,-9,-8,0
-8,-6,85,-6,-31,-13,0
-2,-3,82,-15,-21,-6,0
-1,-11,76,5,-20,-13,0
-3,-2,79,-16,-20,-5,0
-2,2,20,5,-6,-1,0
-3,2,22,5,-8,0,0
-2,2,20,5,-6,-1,0
-2,2,20,5,-6,-1,0
-2,2,20,4,-7,-1,0
-2,1,19,4,-6,0,0
-1,1,19,4,-6,0,0
-2,1,19,4,-6,0,0
-1,2,21,3,-6,1,0
0,1,15,3,-3,0,0
-1,2,4,-1,-7,0,0
2,0,17,3,-4,0,0
0,1,17,3,-4,1,0
-1,2,18,-2,-6,0,0
0,0,16,1,-6,-1,0
-1,2,18,4,-7,0,0
-2,1,19,3,-6,0,0
-2,1,19,4,-6,0,0
-4,0,8,5,-1,2,0
-4,1,7,5,-2,2,0
-4,0,7,5,-2,2,0
-4,0,8,6,-2,2,0
-4,0,8,6,-2,2,0
-4,0,7,5,0,2,0
